candidate,state,e_day_mu,e_day_sigma,run_date
Biden,Maine 1,0.34290230259556365,0.1961072973432956,2024-09-08
Harris,Maine 1,0.23541643122860165,0.1915453006265935,2024-09-08
Biden,Maine 2,-0.2754941201411753,0.19327769371813527,2024-09-08
Harris,Maine 2,-0.38325144226140456,0.19664515477488956,2024-09-08
Biden,Maryland,0.5750910381570857,0.205138130060182,2024-09-08
Harris,Maryland,0.46284930214511794,0.2003554681180051,2024-09-08
Biden,Massachusetts,0.5807396707579306,0.208501657287485,2024-09-08
Harris,Massachusetts,0.4704025105407943,0.20118188715514407,2024-09-08
Biden,Michigan,-0.05998949004559235,0.18983377636498816,2024-09-08
Harris,Michigan,-0.1656802962365563,0.18894624006740585,2024-09-08
Biden,Minnesota,0.01936969891512159,0.18987656801024855,2024-09-08
Harris,Minnesota,-0.08453869661369764,0.19107884287105564,2024-09-08
Biden,Mississippi,-0.45752935994358634,0.20018565660851784,2024-09-08
Harris,Mississippi,-0.5704976515379383,0.2059832490380427,2024-09-08
Biden,Missouri,-0.45055650715862394,0.19952885044052765,2024-09-08
Harris,Missouri,-0.5596270312420806,0.20791275228958336,2024-09-08
Biden,Montana,-0.4783170766904813,0.20401823306663733,2024-09-08
Harris,Montana,-0.5893508870019176,0.20932123133508151,2024-09-08
Biden,Nebraska,-0.5464172833228695,0.20635116841931023,2024-09-08
Harris,Nebraska,-0.6606094182334004,0.21126771591498864,2024-09-08
Biden,Nebraska 1,-0.4570488590766215,0.2009942808809967,2024-09-08
Harris,Nebraska 1,-0.5718499453790644,0.20667333961828785,2024-09-08
Biden,Nebraska 2,-0.0118800007913965,0.18811489115343383,2024-09-08
Harris,Nebraska 2,-0.11900116024739256,0.18938123313602911,2024-09-08
Biden,Nebraska 3,-1.4317763534366446,0.32247348060605935,2024-09-08
Harris,Nebraska 3,-1.6099851225540298,0.3688180399179801,2024-09-08
Biden,Nevada,-0.04947438845153294,0.19087029678443732,2024-09-08
Harris,Nevada,-0.15187078608345272,0.18962997682915736,2024-09-08
Biden,New Hampshire,0.01802458806703386,0.18989073199818152,2024-09-08
Harris,New Hampshire,-0.08831957709103061,0.18839733167136777,2024-09-08
Biden,New Jersey,0.21738372171048276,0.19289590558718295,2024-09-08
Harris,New Jersey,0.11372791565738474,0.18991498101866236,2024-09-08
Biden,New Mexico,0.1183919275728358,0.18839669601568543,2024-09-08
Harris,New Mexico,0.01062119388046037,0.18933599856207103,2024-09-08
Biden,New York,0.3792545755935835,0.19835645009048009,2024-09-08
Harris,New York,0.2691248939912713,0.19364122135627623,2024-09-08
Biden,North Carolina,-0.1368142157441758,0.19426130676870107,2024-09-08
Harris,North Carolina,-0.2463851476570172,0.1921247585340208,2024-09-08
Biden,North Dakota,-0.8777455679006845,0.23502203815334005,2024-09-08
Harris,North Dakota,-1.0118181008643805,0.2448005149716661,2024-09-08
Biden,Ohio,-0.2713982463166648,0.19319250317167097,2024-09-08
Harris,Ohio,-0.38058762782196986,0.1984594469495033,2024-09-08
Biden,Oklahoma,-0.864704095814004,0.23066356433962476,2024-09-08
Harris,Oklahoma,-0.9945077391508936,0.24399574807697164,2024-09-08
Biden,Oregon,0.2104657080652687,0.1907290891922294,2024-09-08
Harris,Oregon,0.1060858973623758,0.18946763378829665,2024-09-08
Biden,Pennsylvania,-0.08357797746919383,0.19273559311317043,2024-09-08
Harris,Pennsylvania,-0.19185169069924096,0.1919590742718313,2024-09-08
Biden,Rhode Island,0.31071832182328735,0.1930541440450939,2024-09-08
Harris,Rhode Island,0.2035980673332575,0.19136559566845815,2024-09-08
Biden,South Carolina,-0.3595841166351363,0.19856049870267767,2024-09-08
Harris,South Carolina,-0.47021371810299656,0.19922764881677404,2024-09-08
Biden,South Dakota,-0.6994132473136061,0.21652010443961245,2024-09-08
Harris,South Dakota,-0.8215905843628684,0.2265406000434509,2024-09-08
Biden,Tennessee,-0.6177053276757193,0.2118406329969919,2024-09-08
Harris,Tennessee,-0.7340302220614656,0.2203010542985264,2024-09-08
Biden,Texas,-0.236408660725462,0.19347348559883512,2024-09-08
Harris,Texas,-0.3438544441875581,0.19374728776335284,2024-09-08
Biden,Utah,-0.5676718786130724,0.20467889025411745,2024-09-08
Harris,Utah,-0.6876353180528284,0.21455649251960696,2024-09-08
Biden,Vermont,0.6320787478976798,0.20959102534834703,2024-09-08
Harris,Vermont,0.5169032273537953,0.2025082755331498,2024-09-08
Biden,Virginia,0.08367200076606095,0.1878939354284073,2024-09-08
Harris,Virginia,-0.02252771581687117,0.19080433423593204,2024-09-08
Biden,Washington,0.29420559681872216,0.19487860338819696,2024-09-08
Harris,Washington,0.18432279243178049,0.18932934737603077,2024-09-08
Biden,West Virginia,-1.0080176739187383,0.24709860695278493,2024-09-08
Harris,West Virginia,-1.1511230773136305,0.2644393665142412,2024-09-08
Biden,Wisconsin,-0.095425756931213,0.18946782511443977,2024-09-08
Harris,Wisconsin,-0.1993834390811077,0.19180407481905912,2024-09-08
Biden,Wyoming,-1.167281530146563,0.2693187399018887,2024-09-08
Harris,Wyoming,-1.3214406594911132,0.30237267058002437,2024-09-08
Biden,Alabama,-0.667672015341376,0.21187786493401073,2024-09-09
Harris,Alabama,-0.785566807175492,0.22255324262570048,2024-09-09
Biden,Alaska,-0.35592813465756074,0.19752383184261865,2024-09-09
Harris,Alaska,-0.46356528040306505,0.20059327565808732,2024-09-09
Biden,Arizona,-0.12288520310318628,0.19041407110151096,2024-09-09
Harris,Arizona,-0.22765710803653677,0.19222201480470424,2024-09-09
Biden,Arkansas,-0.7151542010305626,0.2154724665394867,2024-09-09
Harris,Arkansas,-0.8364636595818737,0.22745304861927487,2024-09-09
Biden,California,0.5204540201239934,0.2088314586162484,2024-09-09
Harris,California,0.41084596301199217,0.1980059217513511,2024-09-09
Biden,Colorado,0.13193000693641055,0.19168508134939025,2024-09-09
Harris,Colorado,0.02855753498255139,0.18994620149942873,2024-09-09
Biden,Connecticut,0.2780732823256872,0.1943329210661185,2024-09-09
Harris,Connecticut,0.1718829764766236,0.1900414178323148,2024-09-09
Biden,Delaware,0.2485039111704444,0.19467620291595897,2024-09-09
Harris,Delaware,0.14471293030586926,0.1909773374936032,2024-09-09
Biden,District of Columbia,2.6325781527142085,0.826883643104329,2024-09-09
Harris,District of Columbia,2.2826310561941416,0.6614930359252608,2024-09-09
Biden,Florida,-0.16445046988625925,0.1926125333102498,2024-09-09
Harris,Florida,-0.27104803714791653,0.1949795014329891,2024-09-09
Biden,Georgia,-0.12553177897377327,0.1904376895073792,2024-09-09
Harris,Georgia,-0.2315213318081342,0.19281760102501752,2024-09-09
Biden,Hawaii,0.5427592439000083,0.2097276022183008,2024-09-09
Harris,Hawaii,0.4287213228023856,0.20209397360674375,2024-09-09
Biden,Idaho,-0.8169426055124512,0.22669311983830573,2024-09-09
Harris,Idaho,-0.943936458453324,0.2409180550316014,2024-09-09
Biden,Illinois,0.2491795134345506,0.19314120215826203,2024-09-09
Harris,Illinois,0.14450613936668252,0.18744785556011564,2024-09-09
Biden,Indiana,-0.4661403231872932,0.19919558566539008,2024-09-09
Harris,Indiana,-0.5775119385187443,0.20714357854384663,2024-09-09
Biden,Iowa,-0.2868082597771983,0.19257357585994447,2024-09-09
Harris,Iowa,-0.3971758970258531,0.1954849371490562,2024-09-09
Biden,Kansas,-0.45603885396836696,0.20340099890111416,2024-09-09
Harris,Kansas,-0.5702573110994926,0.20800689495522817,2024-09-09
Biden,Kentucky,-0.6945337025457391,0.21434007883029263,2024-09-09
Harris,Kentucky,-0.8136724686284204,0.2219370033788072,2024-09-09
Biden,Louisiana,-0.5073752911059963,0.20231806923451576,2024-09-09
Harris,Louisiana,-0.6199445417161866,0.2094550861177832,2024-09-09
Biden,Maine,0.04915262591917879,0.19070862504607167,2024-09-09
Harris,Maine,-0.05551845004334599,0.18881875535064685,2024-09-09
Biden,Maine 1,0.33870513097462385,0.19600000403192275,2024-09-09
